使用時間,場地編號,租場者,額外取場者,租場者(姓名）,額外取場者（姓名）,source
2026/5/14 17:00~18:00,羽毛球6號場,0843,6175,,,IMG_4201.jpg
2026/5/14 17:00~18:00,羽毛球5號場,9709,4932,,,IMG_4202.jpg
2026/5/14 18:00~19:00,羽毛球4號場,7369,7600,,,IMG_4203.jpg
2026/5/14 18:00~19:00,羽毛球5號場,9528,4932,,,IMG_4204.jpg
2026/5/14 18:00~19:00,羽毛球6號場,4380,6175,,,IMG_4205.jpg
2026/5/15 20:00~21:00,羽毛球3號場,7836,7481,,,IMG_4206.jpg
2026/5/15 20:00~21:00,羽毛球4號場,9409,9170,,,IMG_4207.jpg
2026/5/15 20:00~21:00,羽毛球5號場,9709,6175,,,IMG_4208.jpg
2026/5/15 20:00~21:00,羽毛球6號場,4380,0843,,,IMG_4209.jpg
2026/5/15 20:00~21:00,羽毛球7號場,7437,1103,,,IMG_4210.jpg
2026/5/15 21:00~22:00,羽毛球3號場,5949,7481,,,IMG_4211.jpg
2026/5/15 21:00~22:00,羽毛球4號場,,,,,IMG_4212.jpg
2026/5/15 21:00~22:00,羽毛球6號場,0843,,,,IMG_4213.jpg
2026/5/15 21:00~22:00,羽毛球7號場,9761,1103,,,IMG_4214.jpg
2026/5/15 20:00~21:00,羽毛球2號場,7369,4932,,,IMG_4215.jpg
2026/5/17 13:00~14:00,羽毛球場B,0843,,,,IMG_4216.jpg
2026/5/17 13:00~14:00,羽毛球場C,4380,6175,,,IMG_4217.jpg
2026/5/17 13:00~14:00,羽毛球場D,9709,6492,,,IMG_4218.jpg
2026/5/17 14:00~15:00,羽毛球場C,9528,6175,,,IMG_4219.jpg
2026/5/17 14:00~15:00,羽毛球場D,7369,6492,,,IMG_4220.jpg
2026/5/19 18:00~19:00,羽毛球6號場,0843,6175,,,IMG_4221.jpg
2026/5/19 17:00~18:00,羽毛球5號場,9709,6175,,,IMG_4222.jpg
2026/5/19 17:00~18:00,羽毛球6號場,4380,0843,,,IMG_4223.jpg
2026/5/20 18:00~19:00,羽毛球4號場,9709,0843,,,IMG_4224.jpg
2026/5/20 19:00~20:00,羽毛球6號場,0843,,,,IMG_4225.jpg
2026/5/21 17:00~18:00,羽毛球6號場,0843,,,,IMG_4226.jpg
2026/5/21 17:00~18:00,羽毛球5號場,9709,6175,,,IMG_4227.jpg
2026/5/21 18:00~19:00,羽毛球5號場,9528,6175,,,IMG_4228.jpg
2026/5/21 18:00~19:00,羽毛球6號場,4380,,,,IMG_4229.jpg
2026/5/22 21:00~22:00,羽毛球4號場,,,,,IMG_4230.jpg
2026/5/22 20:00~21:00,羽毛球7號場,7437,1103,,,IMG_4231.jpg
2026/5/22 21:00~22:00,羽毛球3號場,5949,7481,,,IMG_4232.jpg
2026/5/22 21:00~22:00,羽毛球2號場,7369,0843,,,IMG_4233.jpg
2026/5/22 20:00~21:00,羽毛球3號場,7836,7481,,,IMG_4234.jpg
2026/5/22 20:00~21:00,羽毛球4號場,0409,9170,,,IMG_4235.jpg
2026/5/22 20:00~21:00,羽毛球2號場,4380,0843,,,IMG_4236.jpg
2026/5/22 20:00~21:00,羽毛球5號場,9709,6175,,,IMG_4237.jpg
2026/5/22 21:00~22:00,羽毛球5號場,9709,6175,,,IMG_4238.jpg
2026/5/22 21:00~22:00,羽毛球5號場,9528,6175,,,IMG_4239.jpg
2026/5/22 21:00~22:00,羽毛球7號場,9761,1103,,,IMG_4240.jpg
2026/5/22 20:00~21:00,羽毛球6號場,4380,0843,,,IMG_4241.jpg
2026/5/23 12:00~13:00,羽毛球7號場,4446,0843,,,IMG_4242.jpg
2026/5/23 12:00~13:00,羽毛球10號場,9709,6492,,,IMG_4243.jpg
2026/5/22 20:00~21:00,羽毛球2號場,4446,1086,,,IMG_4244.jpg
2026/5/27 21:00~22:00,羽毛球5號場,9709,0843,,,IMG_4245.jpg
2026/5/27 20:00~21:00,羽毛球4號場,4380,0843,,,IMG_4246.jpg
2026/5/29 20:00~21:00,羽毛球2號場,4446,1086,,,IMG_4247.jpg
2026/5/29 21:00~22:00,羽毛球6號場,0843,,,,IMG_4248.jpg
2026/5/29 21:00~22:00,羽毛球5號場,9528,6175,,,IMG_4249.jpg
2026/5/29 20:00~21:00,羽毛球6號場,4380,0843,,,IMG_4250.jpg
2026/5/29 20:00~21:00,羽毛球7號場,7437,1103,,,IMG_4251.jpg
2026/5/29 20:00~21:00,羽毛球5號場,9709,6175,,,IMG_4252.jpg
2026/5/29 21:00~22:00,羽毛球7號場,9761,1103,,,IMG_4253.jpg
2026/5/29 21:00~22:00,羽毛球4號場,,,,,IMG_4254.jpg
2026/5/29 20:00~21:00,羽毛球3號場,7836,7481,,,IMG_4255.jpg
2026/5/29 21:00~22:00,羽毛球3號場,5949,7481,,,IMG_4256.jpg
2026/5/29 21:00~22:00,羽毛球2號場,7369,1086,,,IMG_4257.jpg
2026/6/2 17:00~18:00,羽毛球5號場,9709,6492,,,IMG_4260.jpg
2026/6/2 17:00~18:00,羽毛球6號場,4380,0843,,Wing,IMG_4261.jpg
2026/6/2 17:00~18:00,羽毛球7號場,7437,6175,,,IMG_4262.jpg
2026/6/2 18:00~19:00,羽毛球6號場,0843,,Wing,,IMG_4258.jpg
2026/6/2 18:00~19:00,羽毛球7號場,9761,6175,康,嘉浩,IMG_4263.jpg
2026/6/2 18:00~19:00,羽毛球7號場,9528,6492,,譚健朗,IMG_4264.jpg
2026/6/2 19:00~20:00,羽毛球6號場,7369,0843,,Wing,IMG_4259.jpg
2026/6/4 17:00~18:00,羽毛球5號場,9709,7481,,庭彰,IMG_4265.jpg
2026/6/4 17:00~18:00,羽毛球6號場,0843,6175,Wing,嘉浩,IMG_4266.jpg
2026/6/4 17:00~18:00,羽毛球7號場,7437,6175,,嘉浩,IMG_4267.jpg
